"district","category","harm","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"seoul","total","totalcase",39410,41702,44320,41662,40451,40829,39439,40792,41665,40039,38625,38795,39258,35227,33913
"seoul","total","death",452,482,501,429,435,424,378,400,376,348,343,304,250,219,243
"seoul","total","injured",57517,59937,63584,59718,57625,58583,56761,57345,58656,55669,53810,53751,53904,47513,45223
"seoul","CtoP","totalcase",9371,10468,10987,10783,10869,10892,10683,11118,11318,10683,10249,9978,9896,7671,7075
"seoul","CtoP","death",219,256,241,223,246,235,215,214,211,196,189,182,139,113,120
"seoul","CtoP","injured",9781,10840,11519,11238,11309,11383,11159,11621,11831,11144,10706,10402,10320,7996,7332
"seoul","CtoC","totalcase",29183,30128,31978,29579,28294,28537,27358,28201,28854,28030,27103,27522,28150,26508,25926
"seoul","CtoC","death",173,170,201,148,129,136,121,150,116,120,117,96,84,80,92
"seoul","CtoC","injured",46692,47822,50476,46962,44811,45582,43928,44016,45086,42936,41642,41889,42181,38373,36909
"seoul","CarOnly","totalcase",855,1106,1354,1300,1288,1399,1398,1473,1493,1326,1273,1295,1212,1048,912
"seoul","CarOnly","death",60,56,59,58,60,53,42,36,49,32,37,26,27,26,31
"seoul","CarOnly","injured",1038,1275,1587,1518,1505,1617,1674,1708,1739,1589,1462,1460,1403,1144,982
"jong","total","totalcase",1590,1565,1579,1436,1421,1374,1274,1314,1414,1299,1190,1134,1133,903,778
"jong","total","death",12,23,18,19,14,12,13,11,8,9,13,6,6,5,6
"jong","total","injured",2327,2155,2211,2009,1994,1994,1770,1790,1933,1748,1689,1546,1559,1224,1050
"jong","CtoP","totalcase",373,393,363,377,407,399,364,386,395,393,333,336,305,223,182
"jong","CtoP","death",7,15,10,12,13,9,11,7,7,7,8,4,3,2,4
"jong","CtoP","injured",387,400,383,390,424,417,367,399,406,409,351,343,319,238,189
"jong","CtoC","totalcase",1180,1124,1152,998,966,925,856,859,942,860,810,757,781,648,560
"jong","CtoC","death",3,3,5,6,0,3,0,3,0,2,3,2,3,2,1
"jong","CtoC","injured",1900,1696,1747,1541,1510,1510,1348,1313,1440,1287,1285,1159,1169,953,821
"jong","CarOnly","totalcase",37,48,64,61,48,50,54,69,77,46,47,41,47,32,36
"jong","CarOnly","death",2,5,3,1,1,0,2,1,1,0,2,0,0,1,1
"jong","CarOnly","injured",40,59,81,78,60,67,55,78,87,52,53,44,71,33,40
"jungg","total","totalcase",1412,1435,1539,1540,1497,1458,1442,1305,1338,1288,1252,1128,1184,955,854
"jungg","total","death",12,13,12,7,13,12,10,7,8,17,4,9,5,6,3
"jungg","total","injured",1944,1962,2078,2152,2025,2018,1975,1785,1803,1716,1684,1506,1615,1248,1156
"jungg","CtoP","totalcase",321,336,383,357,401,376,403,352,373,345,316,291,284,239,173
"jungg","CtoP","death",9,7,10,2,11,7,8,1,8,11,1,4,4,1,2
"jungg","CtoP","injured",329,364,397,377,419,391,410,367,382,357,326,304,299,251,183
"jungg","CtoC","totalcase",1069,1065,1117,1149,1063,1046,1000,912,918,906,896,796,862,678,655
"jungg","CtoC","death",3,4,2,5,2,3,2,5,0,6,3,5,1,3,0
"jungg","CtoC","injured",1588,1557,1634,1737,1572,1586,1517,1371,1366,1321,1315,1158,1277,959,948
"jungg","CarOnly","totalcase",22,34,39,34,33,36,39,41,47,37,40,41,38,38,26
"jungg","CarOnly","death",0,2,0,0,0,2,0,1,0,0,0,0,0,2,1
"jungg","CarOnly","injured",27,41,47,38,34,41,48,47,55,38,43,44,39,38,25
"yong","total","totalcase",1287,1233,1345,1245,1170,1203,1391,1350,1516,1428,1337,1330,1187,890,1014
"yong","total","death",20,19,20,15,9,11,13,8,18,12,12,14,10,12,5
"yong","total","injured",2037,1805,1927,1738,1704,1809,2023,1971,2110,2069,1949,1852,1614,1178,1369
"yong","CtoP","totalcase",241,262,285,272,273,267,298,285,334,302,286,295,259,155,174
"yong","CtoP","death",7,4,9,6,4,6,4,3,9,8,8,8,6,5,2
"yong","CtoP","injured",243,270,301,273,288,283,308,296,353,313,305,307,270,158,181
"yong","CtoC","totalcase",1007,931,993,906,854,882,1030,1009,1123,1079,994,990,896,697,813
"yong","CtoC","death",9,11,5,7,3,1,4,4,6,3,1,3,1,4,1
"yong","CtoC","injured",1741,1492,1551,1389,1364,1465,1646,1611,1688,1704,1581,1496,1311,979,1162
"yong","CarOnly","totalcase",38,40,67,67,43,53,63,56,59,47,57,45,32,38,27
"yong","CarOnly","death",4,4,6,2,2,4,5,1,3,1,3,3,3,3,2
"yong","CarOnly","injured",47,43,75,76,52,60,69,64,69,52,63,49,33,41,26
"sungd","total","totalcase",1187,1141,1271,1097,1154,986,1100,1189,1227,1099,1076,1143,1091,1119,1057
"sungd","total","death",16,17,13,15,21,6,8,11,8,15,15,9,13,9,8
"sungd","total","injured",1675,1616,1745,1528,1603,1400,1458,1712,1725,1541,1501,1561,1439,1481,1362
"sungd","CtoP","totalcase",230,244,275,231,257,212,256,295,316,281,242,271,225,244,245
"sungd","CtoP","death",10,7,3,5,7,4,5,3,3,9,3,5,8,5,5
"sungd","CtoP","injured",236,243,284,234,260,222,268,315,335,283,253,280,227,250,250
"sungd","CtoC","totalcase",935,873,948,823,866,736,809,851,869,776,788,819,831,845,784
"sungd","CtoC","death",4,10,5,7,9,2,1,5,3,2,7,2,2,4,1
"sungd","CtoC","injured",1406,1347,1413,1247,1314,1126,1153,1353,1344,1209,1197,1227,1173,1198,1084
"sungd","CarOnly","totalcase",22,24,48,43,31,38,35,43,42,42,46,53,35,30,28
"sungd","CarOnly","death",2,0,5,3,5,0,2,3,2,4,5,2,3,0,2
"sungd","CarOnly","injured",33,26,48,47,29,52,37,44,46,49,51,54,39,33,28
"gwang","total","totalcase",1675,1648,1656,1540,1430,1494,1303,1480,1235,1045,1064,1108,973,869,922
"gwang","total","death",17,17,26,17,23,17,10,12,17,9,16,10,3,4,4
"gwang","total","injured",2396,2470,2335,2212,2033,2190,1916,2081,1744,1466,1441,1474,1316,1145,1216
"gwang","CtoP","totalcase",396,355,379,359,354,378,332,390,332,295,283,266,260,190,207
"gwang","CtoP","death",9,8,8,8,16,8,3,7,7,4,5,6,3,3,2
"gwang","CtoP","injured",408,370,396,368,356,397,353,415,354,304,303,286,267,198,210
"gwang","CtoC","totalcase",1250,1253,1240,1148,1035,1081,933,1034,854,708,744,810,682,649,693
"gwang","CtoC","death",6,7,15,4,4,8,6,3,8,2,8,3,0,1,1
"gwang","CtoC","injured",1942,2039,1893,1807,1628,1751,1516,1605,1339,1115,1098,1154,1015,917,984
"gwang","CarOnly","totalcase",29,40,37,33,41,35,38,56,49,42,37,32,31,30,22
"gwang","CarOnly","death",2,2,3,5,3,1,1,2,2,3,3,1,0,0,1
"gwang","CarOnly","injured",46,61,46,37,49,42,47,61,51,47,40,34,34,30,22
"dongd","total","totalcase",1757,1678,1983,1834,1777,1881,1970,1848,2085,2051,1718,1699,1565,1448,1390
"dongd","total","death",27,41,27,25,13,20,16,27,16,14,25,14,15,10,17
"dongd","total","injured",2436,2377,2615,2484,2431,2511,2524,2407,2731,2629,2139,2160,1988,1845,1656
"dongd","CtoP","totalcase",447,435,514,488,474,500,533,492,577,584,518,492,424,331,311
"dongd","CtoP","death",11,25,20,18,5,11,10,17,8,8,14,9,6,5,11
"dongd","CtoP","injured",455,433,528,503,503,519,560,504,605,603,521,504,446,345,305
"dongd","CtoC","totalcase",1266,1204,1415,1270,1242,1316,1366,1284,1442,1407,1128,1153,1091,1067,1048
"dongd","CtoC","death",13,14,7,5,6,7,5,6,7,5,7,5,7,3,5
"dongd","CtoC","injured",1931,1901,2021,1897,1864,1925,1885,1821,2053,1963,1540,1598,1493,1451,1321
"dongd","CarOnly","totalcase",44,39,54,76,61,65,71,72,66,60,72,54,50,50,31
"dongd","CarOnly","death",3,2,0,2,2,2,1,4,1,1,4,0,2,2,1
"dongd","CarOnly","injured",50,43,66,84,64,67,79,82,73,63,78,58,49,49,30
"jungr","total","totalcase",2071,2039,2032,2080,1782,1753,1716,1622,1722,1535,1639,1565,1620,1447,1373
"jungr","total","death",20,17,15,17,12,11,9,11,16,9,6,10,12,4,7
"jungr","total","injured",3022,2783,2825,2841,2386,2401,2369,2180,2269,2030,2228,2135,2122,1952,1826
"jungr","CtoP","totalcase",490,524,534,560,484,467,488,452,505,425,432,432,470,358,332
"jungr","CtoP","death",11,8,9,7,8,8,5,4,5,8,3,8,7,4,6
"jungr","CtoP","injured",505,549,551,578,506,499,508,479,526,453,449,452,486,371,349
"jungr","CtoC","totalcase",1538,1448,1433,1457,1235,1220,1162,1091,1146,1071,1157,1075,1088,1032,1000
"jungr","CtoC","death",7,5,6,9,3,3,3,7,6,0,2,2,4,0,0
"jungr","CtoC","injured",2467,2162,2203,2190,1802,1828,1790,1608,1670,1537,1729,1619,1568,1510,1432
"jungr","CarOnly","totalcase",43,67,65,63,63,66,66,79,71,39,50,58,62,57,41
"jungr","CarOnly","death",2,4,0,1,1,0,1,0,5,1,1,0,1,0,1
"jungr","CarOnly","injured",50,72,71,73,78,74,71,93,73,40,50,64,68,71,45
"sungb","total","totalcase",1391,1781,1905,1611,1569,1572,1536,1664,1680,1618,1557,1427,1509,1275,1285
"sungb","total","death",9,19,15,10,22,11,9,17,19,13,17,14,8,7,15
"sungb","total","injured",1943,2506,2617,2197,2103,2055,2149,2227,2286,2106,2068,1980,2007,1622,1606
"sungb","CtoP","totalcase",393,468,508,504,471,468,448,464,503,482,413,390,406,340,295
"sungb","CtoP","death",6,13,8,8,14,8,8,9,9,7,10,9,4,3,4
"sungb","CtoP","injured",420,485,529,518,485,491,465,505,521,500,413,403,419,352,304
"sungb","CtoC","totalcase",977,1276,1329,1070,1040,1040,1025,1136,1119,1074,1074,975,1038,898,948
"sungb","CtoC","death",1,4,6,2,5,2,0,6,6,3,4,3,1,3,8
"sungb","CtoC","injured",1493,1982,2013,1637,1554,1489,1606,1655,1705,1539,1568,1503,1510,1231,1256
"sungb","CarOnly","totalcase",21,37,68,37,58,64,63,64,58,62,70,62,65,37,42
"sungb","CarOnly","death",2,2,1,0,3,1,1,2,4,3,3,2,3,1,3
"sungb","CarOnly","injured",30,39,75,42,64,75,78,67,60,67,87,74,78,39,46
"gangb","total","totalcase",1263,1373,1392,1293,1174,1212,1107,1313,1265,1227,1202,1216,1277,1087,1017
"gangb","total","death",11,12,20,16,7,9,10,12,16,15,9,13,7,3,6
"gangb","total","injured",1792,1887,1949,1780,1648,1680,1525,1773,1684,1678,1567,1633,1706,1420,1302
"gangb","CtoP","totalcase",384,403,439,446,362,379,399,423,429,398,431,396,398,272,259
"gangb","CtoP","death",8,7,5,11,3,5,7,8,10,8,5,9,2,1,5
"gangb","CtoP","injured",412,421,466,474,392,397,417,437,456,419,454,408,416,290,269
"gangb","CtoC","totalcase",845,916,914,813,784,784,678,842,787,784,732,778,827,776,730
"gangb","CtoC","death",3,4,14,4,3,2,2,4,6,5,4,2,5,2,1
"gangb","CtoC","injured",1342,1407,1439,1268,1224,1227,1072,1284,1172,1208,1070,1182,1237,1085,1000
"gangb","CarOnly","totalcase",34,54,39,34,28,49,30,48,49,45,39,42,52,39,28
"gangb","CarOnly","death",0,1,1,1,1,2,1,0,0,2,0,2,0,0,0
"gangb","CarOnly","injured",38,59,44,38,32,56,36,52,56,51,43,43,53,45,33
"dob","total","totalcase",796,1036,988,975,933,983,934,919,914,949,944,824,852,741,591
"dob","total","death",11,17,17,11,15,16,8,14,8,11,9,6,4,7,3
"dob","total","injured",1191,1467,1405,1362,1279,1294,1259,1205,1255,1306,1239,1061,1163,990,768
"dob","CtoP","totalcase",239,323,281,289,293,324,290,312,270,298,309,282,263,224,167
"dob","CtoP","death",2,12,10,5,7,10,5,11,6,9,3,5,2,4,1
"dob","CtoP","injured",263,333,299,300,300,327,300,315,274,306,318,291,283,230,181
"dob","CtoC","totalcase",540,688,685,665,614,634,619,582,602,621,593,504,554,490,395
"dob","CtoC","death",8,4,6,5,5,5,3,3,1,2,5,1,0,3,2
"dob","CtoC","injured",910,1106,1083,1038,955,939,929,861,924,966,879,729,844,730,554
"dob","CarOnly","totalcase",17,25,22,21,26,25,25,25,42,30,42,38,35,27,29
"dob","CarOnly","death",1,1,1,1,3,1,0,0,1,0,1,0,2,0,0
"dob","CarOnly","injured",18,28,23,24,24,28,30,29,57,34,42,41,36,30,33
"now","total","totalcase",1707,1742,1829,1683,1529,1623,1522,1516,1459,1535,1499,1569,1703,1462,1413
"now","total","death",26,22,21,25,14,13,13,17,15,13,11,14,8,5,8
"now","total","injured",2380,2476,2602,2434,2231,2330,2175,2038,2098,2216,2055,2227,2302,2016,1940
"now","CtoP","totalcase",390,455,472,443,436,420,397,412,399,387,376,383,415,286,280
"now","CtoP","death",9,10,11,11,8,10,5,9,5,6,5,9,6,3,2
"now","CtoP","injured",407,460,484,462,460,439,405,431,414,412,399,402,437,298,298
"now","CtoC","totalcase",1286,1244,1311,1197,1061,1164,1087,1062,1008,1097,1075,1138,1254,1142,1078
"now","CtoC","death",14,8,10,9,5,3,4,6,6,6,4,3,2,2,0
"now","CtoC","injured",1941,1972,2058,1922,1738,1843,1725,1560,1616,1745,1594,1771,1823,1676,1588
"now","CarOnly","totalcase",31,43,45,43,32,39,38,42,52,51,48,48,34,34,55
"now","CarOnly","death",3,4,0,5,1,0,4,2,4,1,2,2,0,0,6
"now","CarOnly","injured",32,44,58,50,33,48,45,47,68,59,62,54,42,42,54
"eun","total","totalcase",1315,1596,1739,1514,1509,1519,1270,1325,1203,1121,1067,1134,1119,953,867
"eun","total","death",16,16,15,16,20,21,10,11,16,14,12,12,7,14,11
"eun","total","injured",1847,2160,2379,2120,2058,2197,1716,1889,1673,1518,1489,1580,1464,1415,1218
"eun","CtoP","totalcase",405,514,494,487,530,521,463,445,391,394,416,367,361,275,250
"eun","CtoP","death",7,14,9,9,16,13,5,6,12,8,7,7,3,10,2
"eun","CtoP","injured",425,530,517,510,549,553,484,468,403,415,439,373,380,278,259
"eun","CtoC","totalcase",891,1055,1180,974,921,946,762,842,784,685,611,721,703,644,583
"eun","CtoC","death",7,2,2,5,2,4,4,5,4,4,5,4,4,3,5
"eun","CtoC","injured",1397,1599,1784,1544,1444,1591,1184,1378,1237,1047,1005,1147,1024,1092,917
