"district","category","harm","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"eun","CarOnly","totalcase",19,27,65,53,58,52,45,38,28,42,40,46,55,34,34
"eun","CarOnly","death",2,0,4,2,2,4,1,0,0,2,0,1,0,1,4
"eun","CarOnly","injured",25,31,78,66,65,53,48,43,33,56,45,60,60,45,42
"seod","total","totalcase",1031,1081,1231,1141,1061,1041,1081,1122,1071,1135,1032,1033,1113,928,930
"seod","total","death",13,14,26,15,14,13,14,16,13,14,8,5,14,6,9
"seod","total","injured",1513,1530,1811,1719,1496,1645,1578,1590,1492,1566,1430,1403,1609,1256,1206
"seod","CtoP","totalcase",294,318,339,335,341,301,323,364,356,314,310,325,326,207,216
"seod","CtoP","death",10,10,13,10,10,4,10,9,8,11,5,4,8,6,3
"seod","CtoP","injured",295,327,355,355,358,325,333,372,377,322,334,344,334,216,232
"seod","CtoC","totalcase",716,726,854,766,679,702,702,705,658,767,674,659,736,686,665
"seod","CtoC","death",2,3,13,3,2,7,1,6,3,3,3,1,4,0,4
"seod","CtoC","injured",1196,1166,1415,1314,1094,1274,1178,1158,1052,1182,1044,998,1220,1002,921
"seod","CarOnly","totalcase",21,37,38,40,41,38,56,53,57,54,48,49,51,35,49
"seod","CarOnly","death",1,1,0,2,2,2,3,1,2,0,0,0,2,0,2
"seod","CarOnly","injured",22,37,41,50,44,46,67,60,63,62,52,61,55,38,53
"ma","total","totalcase",1439,1673,1658,1726,1623,1561,1747,1759,1802,1768,1859,1671,1494,1272,1102
"ma","total","death",24,12,29,22,23,23,23,20,17,15,8,11,7,13,14
"ma","total","injured",2241,2544,2526,2697,2530,2363,2732,2633,2730,2605,2793,2429,2123,1754,1573
"ma","CtoP","totalcase",304,367,400,401,389,376,434,451,472,437,462,397,360,265,228
"ma","CtoP","death",8,7,12,9,13,9,14,11,7,8,7,4,4,6,6
"ma","CtoP","injured",326,390,428,422,402,402,453,477,504,455,489,416,381,278,234
"ma","CtoC","totalcase",1085,1269,1207,1270,1174,1133,1241,1260,1263,1274,1340,1220,1094,974,854
"ma","CtoC","death",9,4,14,9,6,12,7,6,7,5,1,4,2,4,8
"ma","CtoC","injured",1859,2109,2042,2211,2055,1888,2191,2090,2151,2081,2235,1958,1695,1442,1318
"ma","CarOnly","totalcase",50,37,51,55,60,52,72,48,67,57,57,54,40,33,20
"ma","CarOnly","death",7,1,3,4,4,2,2,3,3,2,0,3,1,3,0
"ma","CarOnly","injured",56,45,56,64,73,73,88,66,75,69,69,55,47,34,21
"yang","total","totalcase",1185,1533,1732,1463,1444,1418,1340,1466,1596,1493,1343,1428,1506,1344,1305
"yang","total","death",16,21,18,12,14,14,14,13,14,12,13,11,11,7,14
"yang","total","injured",1737,2122,2413,2070,2006,2036,1905,2000,2231,2056,1789,1939,2085,1829,1692
"yang","CtoP","totalcase",323,432,385,355,347,391,379,398,468,405,370,366,373,281,284
"yang","CtoP","death",8,11,5,6,5,8,4,7,5,6,8,5,7,4,7
"yang","CtoP","injured",332,441,397,371,366,399,410,414,490,414,375,383,384,290,289
"yang","CtoC","totalcase",846,1071,1315,1073,1049,980,910,1009,1079,1046,936,1015,1097,1027,992
"yang","CtoC","death",6,3,11,4,6,5,8,4,3,4,3,4,3,2,6
"yang","CtoC","injured",1378,1653,1981,1665,1586,1587,1433,1516,1687,1595,1372,1508,1662,1503,1374
"yang","CarOnly","totalcase",16,30,32,35,48,47,51,59,49,42,37,47,36,36,29
"yang","CarOnly","death",2,7,2,2,3,1,2,2,6,2,2,2,1,1,1
"yang","CarOnly","injured",27,28,35,34,54,50,62,70,54,47,42,48,39,36,29
"gangs","total","totalcase",1769,2056,1994,1872,1885,1767,1715,1806,1932,1691,1584,1502,1829,1575,1501
"gangs","total","death",19,22,15,21,16,25,26,32,12,13,12,11,20,17,13
"gangs","total","injured",2484,2811,2867,2594,2740,2573,2517,2614,2762,2230,2155,2208,2491,2131,2042
"gangs","CtoP","totalcase",472,541,535,554,553,495,506,505,531,471,402,387,469,346,340
"gangs","CtoP","death",11,8,7,11,5,14,15,15,7,6,6,5,13,8,7
"gangs","CtoP","injured",495,565,567,586,570,512,523,516,549,489,417,413,482,355,356
"gangs","CtoC","totalcase",1251,1447,1402,1255,1262,1191,1118,1229,1329,1139,1125,1052,1298,1179,1121
"gangs","CtoC","death",7,13,5,6,6,4,9,15,4,6,5,6,7,9,6
"gangs","CtoC","injured",1940,2171,2233,1939,2093,1976,1861,2010,2130,1638,1676,1713,1926,1717,1639
"gangs","CarOnly","totalcase",46,68,57,63,70,81,91,72,72,81,57,63,62,50,40
"gangs","CarOnly","death",1,1,3,4,5,7,2,2,1,1,1,0,0,0,0
"gangs","CarOnly","injured",49,75,67,69,77,85,133,88,83,103,62,82,83,59,47
"gur","total","totalcase",1479,1577,1583,1568,1542,1582,1415,1566,1508,1511,1433,1532,1529,1325,1350
"gur","total","death",13,22,15,14,15,21,19,19,19,9,12,13,13,10,9
"gur","total","injured",2322,2348,2364,2270,2226,2366,2165,2205,2127,2139,1960,2129,2096,1810,1729
"gur","CtoP","totalcase",314,419,434,412,415,451,406,452,438,435,370,376,408,296,274
"gur","CtoP","death",9,12,8,5,9,10,11,12,14,5,9,10,8,2,2
"gur","CtoP","injured",328,442,462,429,433,484,453,485,460,460,390,390,421,313,287
"gur","CtoC","totalcase",1126,1106,1096,1108,1065,1072,954,1066,1019,1030,1015,1089,1074,973,1042
"gur","CtoC","death",3,8,5,8,3,8,7,7,4,4,3,1,4,5,4
"gur","CtoC","injured",1949,1840,1837,1784,1718,1815,1646,1660,1614,1624,1515,1661,1623,1438,1404
"gur","CarOnly","totalcase",39,52,53,48,62,59,55,48,51,46,48,67,47,56,34
"gur","CarOnly","death",1,2,2,1,3,3,1,0,1,0,0,2,1,3,3
"gur","CarOnly","injured",45,66,65,57,75,67,66,60,53,55,55,78,52,59,38
"gum","total","totalcase",864,961,1081,1123,1125,1017,939,1029,914,799,824,932,920,810,827
"gum","total","death",14,14,21,12,10,21,10,13,10,15,6,6,9,6,16
"gum","total","injured",1304,1405,1649,1702,1649,1540,1419,1535,1374,1133,1228,1326,1353,1084,1167
"gum","CtoP","totalcase",222,264,286,327,339,272,253,291,266,251,250,266,259,197,173
"gum","CtoP","death",6,10,15,6,7,12,8,6,8,9,4,5,5,3,6
"gum","CtoP","injured",237,277,299,346,355,281,260,305,292,260,266,286,270,218,176
"gum","CtoC","totalcase",623,673,758,761,744,703,660,700,611,525,550,629,626,563,616
"gum","CtoC","death",6,4,6,6,2,6,1,7,1,6,1,0,2,2,10
"gum","CtoC","injured",1045,1099,1309,1316,1244,1213,1130,1188,1041,846,938,999,1046,809,950
"gum","CarOnly","totalcase",19,24,37,35,42,42,26,38,37,23,24,37,35,50,38
"gum","CarOnly","death",2,0,0,0,1,3,1,0,1,0,1,1,2,1,0
"gum","CarOnly","injured",22,29,41,40,50,46,29,42,41,27,24,41,37,57,41
"yeong","total","totalcase",2197,2211,2336,2253,2310,2179,2157,2193,2462,2403,2386,2493,2439,2208,2178
"yeong","total","death",35,36,33,30,28,32,29,26,28,22,22,22,11,7,15
"yeong","total","injured",3262,3309,3448,3348,3326,3206,3128,3128,3564,3473,3519,3532,3451,3102,2967
"yeong","CtoP","totalcase",487,473,527,519,593,553,577,539,562,531,560,563,565,371,340
"yeong","CtoP","death",22,20,15,17,16,19,18,18,19,8,13,12,5,3,9
"yeong","CtoP","injured",503,491,562,538,610,578,597,552,579,559,579,599,598,391,352
"yeong","CtoC","totalcase",1659,1660,1709,1650,1628,1534,1497,1579,1798,1777,1730,1877,1815,1786,1790
"yeong","CtoC","death",11,14,11,11,8,9,9,8,9,12,6,9,3,2,6
"yeong","CtoC","injured",2696,2727,2766,2700,2608,2511,2426,2486,2831,2760,2794,2875,2780,2653,2564
"yeong","CarOnly","totalcase",51,78,100,84,89,92,83,75,102,95,96,53,59,51,48
"yeong","CarOnly","death",2,2,7,2,4,4,2,0,0,2,3,1,3,2,0
"yeong","CarOnly","injured",63,91,120,110,108,117,105,90,154,154,146,58,73,58,51
"dongj","total","totalcase",1086,969,1233,1131,1192,1258,1233,1399,1386,1471,1409,1412,1406,1307,1148
"dongj","total","death",16,10,16,13,13,14,11,13,7,19,20,9,5,10,11
"dongj","total","injured",1645,1436,1801,1594,1676,1707,1848,1901,1994,2028,2043,1892,2021,1819,1520
"dongj","CtoP","totalcase",253,252,329,303,365,355,343,405,393,456,388,427,399,308,285
"dongj","CtoP","death",9,5,7,6,8,6,9,8,1,7,11,9,2,8,8
"dongj","CtoP","injured",257,260,342,311,374,362,371,427,415,473,409,445,437,318,291
"dongj","CtoC","totalcase",800,676,850,773,791,857,844,918,935,960,972,933,961,936,829
"dongj","CtoC","death",4,3,4,3,5,6,1,3,4,11,7,0,2,2,3
"dongj","CtoC","injured",1357,1126,1398,1216,1256,1296,1407,1390,1498,1497,1581,1393,1533,1435,1194
"dongj","CarOnly","totalcase",33,41,54,55,36,46,46,76,58,55,49,52,46,63,34
"dongj","CarOnly","death",3,2,5,4,0,2,1,2,2,1,2,0,1,0,0
"dongj","CarOnly","injured",31,50,61,67,46,49,70,84,81,58,53,54,51,66,35
"gwan","total","totalcase",1844,1944,1979,1851,1737,1713,1753,1716,1625,1408,1251,1300,1363,1444,1419
"gwan","total","death",18,13,14,16,17,20,20,22,12,19,11,8,10,13,8
"gwan","total","injured",2597,2710,2778,2632,2396,2299,2482,2317,2135,1895,1659,1717,1755,1819,1829
"gwan","CtoP","totalcase",502,540,571,557,503,520,537,515,513,425,368,354,352,329,315
"gwan","CtoP","death",9,8,7,11,10,10,13,9,9,13,10,7,6,7,5
"gwan","CtoP","injured",527,567,603,579,524,528,548,540,543,447,381,370,361,339,329
"gwan","CtoC","totalcase",1297,1337,1342,1238,1170,1131,1151,1125,1057,932,851,904,964,1087,1064
"gwan","CtoC","death",6,2,6,2,4,6,7,10,3,5,1,0,4,4,3
"gwan","CtoC","injured",2011,2066,2097,1991,1800,1707,1854,1689,1529,1366,1242,1298,1343,1452,1451
"gwan","CarOnly","totalcase",45,67,66,56,64,62,65,76,55,51,32,42,47,28,40
"gwan","CarOnly","death",3,3,1,3,3,4,0,3,0,1,0,1,0,2,0
"gwan","CarOnly","injured",59,77,78,62,72,64,80,88,63,82,36,49,51,28,49
"seo","total","totalcase",1784,1985,2228,2152,2048,2090,2055,2217,2160,2313,2361,2478,2418,2250,2118
"seo","total","death",21,17,24,20,17,25,19,13,20,16,21,18,14,9,8
"seo","total","injured",2871,3312,3570,3372,3189,3214,3304,3446,3358,3473,3548,3640,3530,3075,2932
"seo","CtoP","totalcase",307,354,404,447,470,516,468,556,496,461,556,524,461,393,375
"seo","CtoP","death",9,5,11,15,8,13,8,5,11,9,12,9,9,5,5
"seo","CtoP","injured",318,368,443,468,479,524,488,574,508,474,570,539,468,412,384
"seo","CtoC","totalcase",1418,1569,1760,1630,1509,1500,1525,1587,1595,1774,1751,1905,1892,1813,1694
"seo","CtoC","death",8,11,8,3,6,8,10,4,6,6,7,8,5,4,3
"seo","CtoC","injured",2473,2868,3049,2822,2608,2609,2738,2787,2770,2907,2917,3043,2986,2616,2495
"seo","CarOnly","totalcase",59,62,64,75,69,74,62,74,69,78,54,49,65,44,49
"seo","CarOnly","death",4,1,5,2,3,4,1,4,3,1,2,1,0,0,0
"seo","CarOnly","injured",80,76,78,82,102,81,78,85,80,92,61,58,76,47,53
"gangn","total","totalcase",3311,3131,3723,3551,3562,3843,3610,3624,3970,3828,3469,3459,3722,3752,3820
"gangn","total","death",30,25,27,31,36,25,31,17,20,12,19,20,14,17,10
"gangn","total","injured",4836,4469,5455,5176,5184,5666,5326,5269,5686,5445,4959,4967,5182,5189,5175
"gangn","CtoP","totalcase",632,663,781,740,807,876,821,876,918,876,810,749,825,721,659
"gangn","CtoP","death",12,12,14,12,17,15,16,14,10,3,7,9,7,8,6
"gangn","CtoP","injured",660,691,810,769,852,941,861,919,950,933,857,783,860,753,687
"gangn","CtoC","totalcase",2636,2431,2857,2745,2669,2867,2706,2639,2962,2883,2590,2639,2832,2964,3103
"gangn","CtoC","death",15,12,9,11,14,8,13,3,6,8,11,10,6,7,2
"gangn","CtoC","injured",4125,3733,4547,4340,4229,4618,4366,4206,4635,4421,4026,4098,4246,4364,4427
"gangn","CarOnly","totalcase",43,37,85,66,86,100,83,109,90,69,69,71,65,67,58
"gangn","CarOnly","death",3,1,4,8,5,2,2,0,4,1,1,1,1,2,2
"gangn","CarOnly","injured",51,45,98,67,103,107,99,144,101,91,76,86,76,72,61
"song","total","totalcase",2491,2622,2739,2573,2554,2844,2473,2608,2687,2598,2758,2860,2892,2595,2607
"song","total","death",17,30,22,16,36,14,21,24,16,14,23,27,13,11,14
"song","total","injured",3609,3925,4084,3742,3632,4060,3556,3635,3763,3646,3805,3932,4003,3509,3509
"song","CtoP","totalcase",539,643,635,610,580,637,563,606,602,611,621,649,592,478,469
"song","CtoP","death",3,11,10,5,21,6,9,8,9,7,14,12,4,4,3
"song","CtoP","injured",575,658,668,637,594,669,591,642,646,654,651,675,621,502,496
"song","CtoC","totalcase",1906,1922,2051,1873,1907,2123,1808,1917,1991,1896,2061,2106,2210,2064,2081
"song","CtoC","death",11,16,11,9,13,7,10,14,6,6,8,14,8,5,10
"song","CtoC","injured",2978,3202,3338,2991,2958,3290,2855,2901,3011,2893,3075,3141,3257,2954,2953
"song","CarOnly","totalcase",46,57,53,90,67,84,102,85,94,91,76,105,90,53,57
"song","CarOnly","death",3,3,1,2,2,1,2,2,1,1,1,1,1,2,1
"song","CarOnly","injured",56,65,78,114,80,101,110,92,106,99,79,116,125,53,60
"gangd","total","totalcase",1479,1692,1545,1410,1423,1458,1356,1442,1494,1426,1371,1418,1414,1268,1047
"gangd","total","death",19,13,22,14,13,18,12,14,23,17,19,12,11,7,9
"gangd","total","injured",2106,2352,2130,1945,2080,2029,1942,2014,2129,1957,1873,1922,1910,1600,1413
"gangd","CtoP","totalcase",413,490,434,410,425,438,402,452,479,426,427,394,437,342,242
"gangd","CtoP","death",7,7,5,8,5,10,4,7,14,11,11,8,7,3,7
"gangd","CtoP","injured",438,505,448,440,450,443,426,467,489,430,457,406,454,352,241
"gangd","CtoC","totalcase",1036,1164,1060,967,966,970,915,963,963,959,906,978,944,890,788
"gangd","CtoC","death",7,1,15,5,7,7,4,6,7,4,8,4,4,4,2
"gangd","CtoC","injured",1627,1802,1625,1456,1593,1518,1472,1515,1583,1485,1366,1461,1420,1207,1152
"gangd","CarOnly","totalcase",30,38,51,33,32,50,39,27,52,41,38,46,33,36,17
"gangd","CarOnly","death",5,5,2,1,1,1,4,1,2,2,0,0,0,0,0
"gangd","CarOnly","injured",41,45,57,49,37,68,44,32,57,42,50,55,36,41,20
